dependency,count
org.projectlombok:lombok,233
org.eclipse.jetty:jetty-server,148
org.xwiki.platform:xwiki-platform-index-test-pageobjects,1
org.xwiki.platform:xwiki-platform-office-test-pageobjects,1
org.springframework.boot:spring-boot-starter-data-cassandra,2
org.slf4j:jcl-over-slf4j,173
org.joyqueue:joyqueue-broker-protocol,1
org.harctoolbox:HarcHardware,1
org.apache.camel.quarkus:camel-quarkus-azure-cosmosdb,1
org.apache.camel.quarkus:camel-quarkus-jsch,1
org.apache.camel.quarkus:camel-quarkus-lzf,1
org.apache.camel.quarkus:camel-quarkus-support-spring-beans,1
nl.jqno.equalsverifier:equalsverifier,27
com.squareup:fest-android,4
org.eclipse.jetty:jetty-alpn-java-server,2
org.apache.servicecomb.toolkit:oas-validator-compatibility-spring,1
com.sikulix:sikulix2tigervnc,1
args4j:args4j,29
org.openimaj:webpage-analysis,1
com.1ssqq1lxr.mqtt:iot-container,1
com.github.fangjinuo.sqlhelper:sqlhelper-springjdbc,1
com.aliyun:aliyun-java-sdk-core,19
org.apache.directory.api:api-ldap-model,2
io.trino:trino-memory,1
jotm:jotm,2
org.jboss.deployers:jboss-deployers-structure-spi,1
org.keycloak:keycloak-tomcat8-adapter,1
org.nuxeo.ecm.platform:nuxeo-tree-snapshot-core,1
org.nuxeo.ecm.platform:nuxeo-user-profile-jsf,1
org.nuxeo.shell:nuxeo-shell-core,1
org.nuxeo:nuxeo-dmk-adaptor,1
org.tukaani:xz,22
org.opennms.newts:newts-api,1
org.apache.cayenne:cayenne-client,1
de.tudarmstadt.ukp.inception.app:inception-external-editor,1
org.glassfish.main.admingui:console-concurrent-plugin,2
org.glassfish.main.grizzly:nucleus-grizzly-all,2
org.glassfish.main.jdbc:jdbc-config,2
org.glassfish.main.webservices:metro-glue,2
io.opencensus:opencensus-exporter-stats-stackdriver,3
org.archive.heritrix:commons,1
io.debezium:debezium-microbenchmark,1
io.nats:jnats,7
org.glassfish.grizzly:grizzly-http-servlet-server,4
org.hotswapagent:hotswap-agent-log4j2-plugin,1
io.quarkus:quarkus-jdbc-mariadb-deployment,1
io.vertx:vertx-core,32
org.keycloak:keycloak-adapter-core,2
org.wildfly.security:wildfly-elytron-asn1,1
org.glassfish.tyrus:tyrus-container-inmemory,1
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.workflow.mgt.stub,1
org.wso2.identity.apps:identity-apps-cypress-tests,1
br.com.caelum.vraptor:vraptor-freemarker,1
org.apache.edgent.android:edgent-analytics-sensors,1
org.apache.edgent.android:edgent-runtime-etiao,1
org.springframework.cloud:spring-cloud-starter-netflix-zuul,3
org.radargun:plugin-jdg64,1
com.sun.javafx:javafx-io,1
io.jpress:jpress-template,1
com.github.mpkorstanje:simmetrics-core,2
org.springframework.cloud:spring-cloud-function-context,3
com.zuoxiaolong.blog:blog-common,1
com.oracle.oci.sdk:oci-java-sdk-workrequests,1
org.sonarsource.sonarlint.core:sonarlint-server-api,1
de.tudarmstadt.ukp.clarin.webanno:webanno-ui-tagsets,1
org.igniterealtime:tinder,2
com.github.detro.ghostdriver:phantomjsdriver,2
com.netflix.ribbon:ribbon,2
com.megaease.easeagent:zipkin-mock,1
org.dashbuilder:dashbuilder-validations,1
com.sun.web.ui:cc_it,2
org.apache.lucene:lucene-snowball,3
com.aliyun.openservices:ons-client,3
