groupId,artifactId
com.dianping.puma,puma-alarm
com.github.ata4,ioutils
com.oracle.oci.sdk,oci-java-sdk-addons-apache
org.apache.deltaspike.modules,deltaspike-partial-bean-module-api
com.codingapi.txlcn,txlcn-tc
org.wso2.carbon.automation,org.wso2.carbon.automation.api
io.micronaut,micronaut-inject
net.kyori,adventure-platform-bukkit
com.spotify,zoltar-api
io.quarkus,quarkus-panacheql
org.wildfly.core,wildfly-subsystem-test-framework
ro.pippo,pippo-controller
com.microsoft.azure,azure-keyvault-cryptography
org.openimaj,image-local-features
org.jwat,jwat-common
com.sun.faces.test.javaee6web,flowDefiningDocumentIdJar2
com.sun.faces.test.javaee6web,flowDefiningDocumentIdJar1
org.openhab.addons.bundles,org.openhab.binding.rfxcom
org.xwiki.platform,xwiki-platform-store-merge-default
org.jenkins-ci.plugins,configurationslicing
eu.europa.ec.joinup.sd-dss,dss-asic-xades
com.google.code.cli-parser,cli
io.debezium,debezium-server-eventhubs
org.pepsoft.worldpainter,WPCore
org.kie.kogito,monitoring-elastic-springboot-addon
org.apache.pinot,pinot-common
org.springframework.cloud,spring-cloud-dataflow-core-dsl
com.thinkbiganalytics.kylo.integrations,kylo-spark-validate-cleanse-spark-v1
com.github.dapeng-soa,dapeng-transaction-api
com.flowpowered,flow-networking
org.wso2.carbon.identity.local.auth.requestpath.basic,org.wso2.carbon.identity.application.authenticator.requestpath.basicauth.server.feature
org.eclipse.ditto,ditto-internal-utils-aggregator
org.apache.maven,maven-project-builder
org.crashub,crash.packaging
org.apache.camel.quarkus,camel-quarkus-weka
com.thinkbiganalytics.kylo.integrations,kylo-spark-validate-cleanse-spark-v2
org.camunda.spin,camunda-spin-dataformat-json-jackson
asm,asm-debug-all
org.apache.apex,apex-shaded-ning19
com.github.DieReicheErethons,Brewery
com.github.braisdom,mangosdk-spi
syncer,syncer-common
org.jboss.osgi.metadata,jbosgi-metadata
io.quarkus,quarkus-qute
org.mage,mage-deck-limited
com.megaease.easeagent,log4j2-mock
org.jboss.arquillian.container,arquillian-jetty-embedded-9
ddf.catalog.core,versioning-api
github.sepinf,png-reader
org.prefuse,prefuse
io.quarkus,quarkus-test-oidc-server
org.apache.tomee,openejb-provisionning
fish.payara.server.internal.web,jstl-connector
io.spring.javaformat,spring-javaformat-formatter-test-support
org.forgerock.openam,openam-ldap-utils
org.apache.camel.quarkus,camel-quarkus-azure-storage-datalake
org.questdb,questdb
com.codingapi.txlcn,txlcn-tm
com.google.code.simple-spring-memcached,spymemcached
org.quartz-scheduler.wso2,quartz
org.dashbuilder,dashbuilder-cms-client
org.neo4j.springframework.data,spring-data-neo4j-rx-spring-boot-starter
org.apache.pulsar,pulsar-io-cassandra
io.quarkus,quarkus-oidc-common
org.apache.servicemix.bundles,org.apache.servicemix.bundles.aws-java-sdk
org.testcontainers,junit-jupiter
cn.springcloud.gray,spring-cloud-gray-plugin-eureka
org.apache.camel.quarkus,camel-quarkus-servicenow
io.ebean,ebean-redis
com.alibaba.jvm.sandbox,sandbox-api
org.graphfoundation.ongdb,ongdb-geequel-interpreted-runtime
fish.payara.server.internal.cluster,cluster-cli
net.spy,spymemcached
org.glassfish,javax.annotation
com.badlogicgames.gdx,gdx
org.nuxeo.ecm.platform,nuxeo-platform-signature-core
org.talend.esb.auxiliary.storage,auxiliary-storage-features
org.apache.mnemonic,mnemonic-spark-core
io.scigraph,scigraph-analysis
com.gluonhq.attachextended,log
org.apache.edgent,edgent-connectors-http
com.github.javafaker,javafaker
org.apache.samza,samza-kv-rocksdb_2.11
com.facebook.presto,presto-server
org.apache.servicecomb.toolkit,oas-validator-compatibility
org.apache.edgent.java7,edgent-connectors-iot
com.vmware.mangle,mangle-byteman-submit
com.googlecode.wicket-jquery-ui,wicket-kendo-ui-theme-bootstrap
org.slf4j,slf4j-jcl
com.gwtplatform,gwtp-mvp-shared
com.github.snksoft,crc
org.apache.camel.quarkus,camel-quarkus-aws2-msk
org.jeasy,easy-rules-support
org.apache.calcite,calcite-babel
org.apache.hbase,hbase-common
org.eclipse.leshan,leshan-server-cf
org.activiti,activiti-api-task-model
org.testfx,testfx-junit5
com.googlecode.sardine,sardine
net.sourceforge.htmlcleaner,htmlcleaner
org.apache.knox,gateway-discovery-cm
org.scalamock,scalamock_2.12
org.gradle,gradle-native
com.tduck,tduck-storage
org.codelibs,analyzers
io.quarkus,quarkus-resteasy-jackson
org.wildfly.swarm,webservices-modules
com.foundationdb,fdb-sql-parser
org.apache.archiva.components,archiva-components-spring-quartz
io.quarkus,quarkus-oidc-token-propagation
com.microsoft.rest,client-runtime
org.netbeans.modules,org-netbeans-modules-editor-actions
org.wso2.carbon.identity.governance,org.wso2.carbon.identity.api.user.recovery
org.coffeeking,org.coffeeking.connectedcup.plugin
ddf.catalog.transformer,catalog-transformer-propertyjson-metacard
io.seata,seata-codec-all
com.slack.api,bolt-google-cloud-functions
org.neo4j,neo4j-parser
org.nutz,nutzboot-starter-wkcache
org.glassfish.hk2.external,javax.inject
org.kie.kogito,kogito-addons-quarkus-events-predictions
org.owasp.test.aggregate,fourth
org.gradle,gradle-plugins
org.cloudera.htrace,htrace-core
org.sonatype.nexus.plugins,nexus-audit-plugin
org.apache.shenyu,shenyu-spring-boot-starter-plugin-sofa
com.denimgroup.threadfix,threadfix-offline
com.amazonaws,aws-java-sdk-kms
openlatexstudio,Editor
com.hotels,waggle-dance-rest
org.springframework.cloud.fn,geode-common
io.atlasmap,atlas-java-model
org.wso2.carbon.identity.conditional.auth.functions,org.wso2.carbon.identity.conditional.auth.functions.cookie
com.mapr.db,maprdb
org.keycloak,keycloak-admin-client
cn.jbone,jbone-common
com.oracle.oci.sdk,oci-java-sdk-certificatesmanagement
org.nuxeo.ecm.platform,nuxeo-platform-video-core
com.facebook.airlift,json
org.eclipse.jetty,jetty-reactive-httpclient
org.apache.camel,camel-jsonpath
com.google.code.maven-scm-provider-svnjava,maven-scm-provider-svnjava
org.apache.shenyu,shenyu-spi
org.sonatype.ossindex,ossindex-service-client
fish.payara.server.internal.extras,payara-micro-core
org.apache.commons,commons-proxy
io.quarkus,quarkus-resteasy-mutiny-deployment
systems.manifold,manifold-ext-middle-test
org.bytedeco,ffmpeg-platform
org.wso2.carbon.identity.local.auth.fido,org.wso2.carbon.identity.api.user.fido2
com.taobao.arthas,arthas-tunnel-client
com.thinkbiganalytics.kylo,kylo-security-auth-kylo-local
fr.opensagres.xdocreport,org.apache.poi.xwpf.converter.xhtml
org.neo4j,neo4j-logging
io.cattle,cattle-iaas-events
org.apache.camel.quarkus,camel-quarkus-jsonpath
org.apache.edgent.android,edgent-analytics-sensors
org.jboss.resteasy,resteasy-netty
cn.springcloud.gray,spring-cloud-gray-server-cluster-http-synchro-plugin
org.wildfly.swarm,jgroups-runtime
org.gephi,layout-api
org.forgerock.ce.commons,json-resource-servlet
org.glassfish.jersey.ext,jersey-declarative-linking
com.bladejava,blade-asm
org.thingsboard.common,dao-api
org.apache.camel.quarkus,camel-quarkus-infinispan-deployment
org.glassfish.main.ejb,ejb-internal-api
com.azure.resourcemanager,azure-resourcemanager-storage
org.apereo.cas,cas-server-core-cookie
io.airlift.drift,drift-transport-apache
exclusions,included
org.dcm4che.dcm4chee-arc,dcm4chee-arc-qido
com.walmartlabs.concord.plugins.basic,lock-tasks
org.jboss.resteasy,resteasy-json-p-provider
org.metawidget.modules.faces,metawidget-richfaces
com.fasterxml.jackson.dataformat,jackson-dataformat-ion
it.unibz.inf.ontop,ontop-cli
org.apache.shenyu,shenyu-register-instance-api
org.testingisdocumenting.webtau,webtau-junit5-groovy
org.neo4j,neo4j-random-values
org.openrdf.sesame,sesame-query
org.openhab.addons.bundles,org.openhab.binding.bluetooth.ruuvitag
org.nutz,nutz-integration-jedisque
com.github.mpusher,mpush-netty
org.jenkins-ci.plugins,matrix-auth
org.apache.servicecomb,swagger-generator-core
com.microsoft.azure,azure-toolkit-ide-appservice-lib
com.bstek.bdf3,bdf3-swfviewer
com.atomgraph,processor
org.nuxeo.ecm.platform,nuxeo-tree-snapshot-core
org.vaadin.alump,ckeditor
net.sf.jpam,jpam
com.xkcoding,nacos-naming
com.sun.grizzly,grizzly-compat
com.webank.wedatasphere.linkis,linkis-protocol
org.apache.santuario,xmlsec
com.alibaba.database,innodb-heatmap
org.apache.lucene,lucene-analyzers-stempel
com.walmartlabs.concord.server.plugins.ansible,concord-ansible-plugin-client
com.github.xiaoymin,knife4j-spring-boot-starter
org.apache.xmlgraphics,fop-core
io.sarl,io.sarl.eclipse
org.eclipse.paho,org.eclipse.paho.mqttv5.client
org.gephi,preview-api
com.rabbitmq,http-client
org.apache.tomee,openejb-itests-beans
org.apache.hudi,hudi-flink-client
com.codenvy.onpremises.wsmaster,codenvy-hosted-api-node
org.apache.archiva,archiva-xml-tools
com.google.cloud,google-cloud-monitoring
org.xwiki.platform,xwiki-platform-filter-script
info.bliki.wiki,bliki-core
com.github.stephenc.monte,monte-screen-recorder
org.geotools,gt-jts-wrapper
com.alibaba.datax,datax-core
org.apache.helix,metrics-common
org.infinitest.intellij,intellij-annotations
com.nativelibs4java,anarres-jnaerator
org.apache.camel.quarkus,camel-quarkus-sap-netweaver-deployment
com.github.spullara.redis,protocol
org.hjug.refactorfirst.plugin,refactor-first-maven-plugin
org.janusgraph,janusgraph-core
org.sonarsource.sonarqube,sonar-ws
com.speedment.jpastreamer,analytics
org.ldaptive,ldaptive-unboundid
com.sun.faces.test.servlet30,composite2Jar
org.xwiki.platform,xwiki-platform-search-solr-query
org.metawidget.modules.commons,metawidget-beanutils
io.grpc,grpc-protobuf-lite
io.cucumber,cucumber-gherkin
org.http4k,http4k-core
net.andreinc.aleph,aleph-formatter
com.github.xkzhangsan,xk-time
org.apache.spark,spark-graphx_2.10
org.apache.spark,spark-graphx_2.12
org.apache.iotdb,metrics-interface
com.ftpix.homedash.plugins,dockercompose
uk.gov.dstl.baleen,baleen-graph-neo4j
edu.illinois.cs.cogcomp,illinois-tokenizer
org.apache.atlas,impala-bridge-shim
org.metawidget.modules.faces,metawidget-icefaces
org.assertj,assertj-joda-time
org.springframework.boot,spring-boot-loader
com.notnoop.apns,apns
com.googlecode.gwtquery,gwtquery
io.sundr,builder-annotations
com.itextpdf,itextpdf
io.smallrye.config,smallrye-config-validator
org.apache.linkis,linkis-engineconn-plugin-loader
org.geowebcache,gwc-swift
com.slack.api,slack-api-model
org.glassfish.jersey.media,jersey-media-sse
org.kie.kogito,kogito-addons-rest-exception-handler
org.nuxeo.ecm.platform,nuxeo-thumbnail
org.opennms.newts,newts-cassandra-test
org.apache.dubbo,dubbo-configcenter-nacos
org.apache.servicemix.specs,org.apache.servicemix.specs.jaxrs-api-2.1
org.hibernate,hibernate-java8
org.gridkit.jvmtool,ygc-bench
