dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
com.h2database:h2,org.apache.maven:maven-core,12,211,112,0.06,0.11,0.11
commons-cli:commons-cli,commons-logging:commons-logging,62,223,217,0.28,0.29,0.29
com.alibaba:fastjson,org.testng:testng,7,207,158,0.03,0.04,0.04
org.apache.zookeeper:zookeeper,org.junit.jupiter:junit-jupiter-engine,10,107,200,0.09,0.05,0.09
com.google.code.findbugs:jsr305,org.assertj:assertj-core,45,167,243,0.27,0.19,0.27
com.google.code.findbugs:jsr305,org.springframework:spring-beans,18,167,151,0.11,0.12,0.12
com.google.code.findbugs:jsr305,org.apache.logging.log4j:log4j-core,25,167,202,0.15,0.12,0.15
com.fasterxml.jackson.core:jackson-databind,org.apache.commons:commons-math3,34,453,107,0.08,0.32,0.32
javax.servlet:javax.servlet-api,log4j:log4j,92,281,296,0.33,0.31,0.33
org.hamcrest:hamcrest-core,org.springframework:spring-jdbc,21,137,130,0.15,0.16,0.16
com.fasterxml.jackson.core:jackson-core,commons-collections:commons-collections,60,287,163,0.21,0.37,0.37
com.google.protobuf:protobuf-java,org.hamcrest:hamcrest-all,12,152,138,0.08,0.09,0.09
com.google.protobuf:protobuf-java,joda-time:joda-time,38,152,222,0.25,0.17,0.25
org.easymock:easymock,org.slf4j:slf4j-log4j12,37,104,301,0.36,0.12,0.36
org.apache.maven:maven-plugin-api,org.openjdk.jmh:jmh-core,12,156,100,0.08,0.12,0.12
org.eclipse.jetty:jetty-server,org.springframework:spring-test,32,148,188,0.22,0.17,0.22
commons-fileupload:commons-fileupload,org.apache.commons:commons-collections4,26,148,109,0.18,0.24,0.24
org.apache.commons:commons-compress,org.hsqldb:hsqldb,14,121,120,0.12,0.12,0.12
commons-cli:commons-cli,org.slf4j:slf4j-simple,45,223,223,0.2,0.2,0.2
com.alibaba:fastjson,org.javassist:javassist,22,207,132,0.11,0.17,0.17
com.google.code.findbugs:jsr305,mysql:mysql-connector-java,25,167,326,0.15,0.08,0.15
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-core,39,381,202,0.1,0.19,0.19
org.springframework:spring-beans,org.springframework:spring-context,135,151,240,0.89,0.56,0.89
javax.validation:validation-api,org.apache.logging.log4j:log4j-slf4j-impl,10,110,120,0.09,0.08,0.09
com.fasterxml.jackson.core:jackson-core,com.h2database:h2,57,287,211,0.2,0.27,0.27
org.apache.logging.log4j:log4j-slf4j-impl,org.postgresql:postgresql,21,120,134,0.18,0.16,0.18
com.google.inject:guice,org.springframework:spring-core,14,114,186,0.12,0.08,0.12
commons-codec:commons-codec,joda-time:joda-time,100,356,222,0.28,0.45,0.45
com.google.code.gson:gson,javax.servlet:javax.servlet-api,85,365,281,0.23,0.3,0.3
org.apache.httpcomponents:httpcore,org.mockito:mockito-core,66,152,504,0.43,0.13,0.43
javax.xml.bind:jaxb-api,org.slf4j:jcl-over-slf4j,37,169,173,0.22,0.21,0.22
javax.xml.bind:jaxb-api,org.apache.logging.log4j:log4j-slf4j-impl,19,169,120,0.11,0.16,0.16
ch.qos.logback:logback-classic,org.json:json,32,381,137,0.08,0.23,0.23
ch.qos.logback:logback-classic,org.postgresql:postgresql,50,381,134,0.13,0.37,0.37
ch.qos.logback:logback-classic,org.eclipse.jetty:jetty-servlet,41,381,114,0.11,0.36,0.36
org.mockito:mockito-core,org.slf4j:jcl-over-slf4j,78,504,173,0.15,0.45,0.45
com.fasterxml.jackson.core:jackson-databind,commons-collections:commons-collections,77,453,163,0.17,0.47,0.47
javax.validation:validation-api,org.springframework:spring-web,26,110,161,0.24,0.16,0.24
javax.validation:validation-api,org.easymock:easymock,15,110,104,0.14,0.14,0.14
org.hamcrest:hamcrest-core,org.springframework:spring-test,28,137,188,0.2,0.15,0.2
com.fasterxml.jackson.core:jackson-core,org.powermock:powermock-module-junit4,30,287,118,0.1,0.25,0.25
com.fasterxml.jackson.core:jackson-core,org.apache.commons:commons-lang3,146,287,548,0.51,0.27,0.51
junit:junit,org.apache.logging.log4j:log4j-api,111,1314,158,0.08,0.7,0.7
org.slf4j:slf4j-api,org.yaml:snakeyaml,84,795,143,0.11,0.59,0.59
javax.xml.bind:jaxb-api,org.springframework:spring-webmvc,23,169,142,0.14,0.16,0.16
org.eclipse.jetty:jetty-server,org.slf4j:slf4j-simple,27,148,223,0.18,0.12,0.18
org.eclipse.jetty:jetty-server,org.springframework:spring-jdbc,22,148,130,0.15,0.17,0.17
org.apache.httpcomponents:httpclient,org.slf4j:slf4j-log4j12,105,384,301,0.27,0.35,0.35
com.h2database:h2,org.testng:testng,19,211,158,0.09,0.12,0.12
org.apache.commons:commons-compress,org.apache.httpcomponents:httpclient,73,121,384,0.6,0.19,0.6
io.netty:netty-all,org.slf4j:jcl-over-slf4j,24,125,173,0.19,0.14,0.19
org.javassist:javassist,org.springframework:spring-test,23,132,188,0.17,0.12,0.17
com.alibaba:fastjson,com.google.protobuf:protobuf-java,24,207,152,0.12,0.16,0.16
javax.annotation:javax.annotation-api,org.apache.logging.log4j:log4j-core,19,122,202,0.16,0.09,0.16
com.fasterxml.jackson.core:jackson-databind,org.mockito:mockito-all,71,453,210,0.16,0.34,0.34
javax.validation:validation-api,org.springframework:spring-webmvc,22,110,142,0.2,0.15,0.2
javax.inject:javax.inject,org.assertj:assertj-core,25,109,243,0.23,0.1,0.23
org.hamcrest:hamcrest-core,org.springframework:spring-context,31,137,240,0.23,0.13,0.23
commons-beanutils:commons-beanutils,org.testng:testng,24,163,158,0.15,0.15,0.15
org.springframework:spring-jdbc,org.yaml:snakeyaml,16,130,143,0.12,0.11,0.12
org.junit.jupiter:junit-jupiter-engine,org.projectlombok:lombok,32,200,233,0.16,0.14,0.16
mysql:mysql-connector-java,org.apache.commons:commons-math3,22,326,107,0.07,0.21,0.21
org.bouncycastle:bcprov-jdk15on,org.slf4j:jcl-over-slf4j,23,106,173,0.22,0.13,0.22
javax.xml.bind:jaxb-api,org.springframework:spring-jdbc,22,169,130,0.13,0.17,0.17
org.slf4j:jcl-over-slf4j,org.springframework:spring-web,51,173,161,0.29,0.32,0.32
javax.servlet:servlet-api,org.yaml:snakeyaml,16,158,143,0.1,0.11,0.11
org.apache.commons:commons-collections4,org.openjdk.jmh:jmh-core,8,109,100,0.07,0.08,0.08
javax.annotation:javax.annotation-api,org.projectlombok:lombok,11,122,233,0.09,0.05,0.09
org.apache.commons:commons-lang3,org.postgresql:postgresql,68,548,134,0.12,0.51,0.51
ch.qos.logback:logback-core,org.slf4j:slf4j-simple,17,113,223,0.15,0.08,0.15
org.postgresql:postgresql,org.springframework:spring-webmvc,13,134,142,0.1,0.09,0.1
com.google.guava:guava,org.jsoup:jsoup,60,680,133,0.09,0.45,0.45
javax.servlet:javax.servlet-api,org.apache.commons:commons-text,27,281,103,0.1,0.26,0.26
javax.servlet:javax.servlet-api,org.postgresql:postgresql,41,281,134,0.15,0.31,0.31
javax.inject:javax.inject,org.hamcrest:hamcrest-all,17,109,138,0.16,0.12,0.16
org.hamcrest:hamcrest-core,org.springframework:spring-web,24,137,161,0.18,0.15,0.18
org.eclipse.jetty:jetty-servlet,org.testng:testng,25,114,158,0.22,0.16,0.22
