mcrTags,count
"[apache,api,codehaus,coordination,distributed,github,groovy,javax,jvm,language,logging,mapping,monitor,orm,persistence,relational,servlet,specs,spring,standard,support,zookeeper]",1
"[api,event,junit,mock,mocking,module,testing,tools]",1
"[beans,hibernate,jboss,logging,persistence,validation]",1
"[apache,diff,json,mime,patch]",1
"[admin,analysis,annotations,api,client,codec,database,defect,http,io,metadata,netty,network,redis,server,socket,spring,swagger,ui]",1
"[annotations,apache,api,build,build-system,codehaus,junit,logging,maven,metadata,mock,mocking,module,plugin,testing,tools]",1
"[jvm,language,ruby,swing,ui]",1
"[analyzer,apache,graph,index,lucene,validation]",1
"[apache,api,cache,github,hibernate,io,javax,persistence,selenium,servlet,specs,standard,testing,upload,validation]",1
"[analyzer,apache,api,azure,build,build-system,client,cluster,command-line,commons,compiler,connector,data,database,diff,encryption,github,google,hadoop,hbase,http,index,io,javax,json,junit,jvm,kotlin,language,library,lucene,managment,mapreduce,maven,mock,mocking,model,module,native,parallel,patch,protocol,ruby,runtime,scala,scripting,sdk,security,serialization,servlet,spark,specs,standard,testing,thrift,transport,webservice,yarn]",1
"[admin,amazon,annotations,ant,apache,api,assets,aws,binding,build,build-system,cache,chart,client,cloud,codehaus,cryptography,database,dependency-injection,eclipse,github,google,groovy,http,io,javax,jboss,jdbc,jetty,json,junit,jvm,language,launcher,logging,math,maven,metadata,metrics,migration,mime,model,monitoring,native,packaging,persistence,plugin,provider,proxy,repository,rest,ruby,scripting,sdk,security,server,service,servlet,specs,standard,swagger,testing,tools,ui,upload,validation,visualization,web,webserver,xml]",1
"[apache,bytecode,cache,commons,csv,logging,schema,spring,tabular]",1
"[cryptography,database,io,jboss,jdbc,jpa,logging,migration,mock,mocking,model,netty,network,persistence,prometheus,server,socket,testing]",1
"[appserver,client,driver,github,google,io,json,rest,sdk,server,spring,starter,streaming,testing]",1
"[apache,computing,database,distributed,hadoop,hbase,nosql,protocol,serialization,thrift]",1
"[annotations,apache,api,compression,javax,jenkins,json,library,metadata,mime,scripting,servlet,specs,standard,upload]",1
"[io,prometheus]",3
"[annotation,annotations,apache,build,build-system,codehaus,container,dependency-injection,groovy,jvm,language,maven,metadata,plugin,testing,tools]",1
"[apache,broker,distributed,io,logging,native,queue,tracing,validation]",1
"[api,html,io,javax,messaging,parser,pdf,render,specs,spring,standard,validation]",1
"[annotations,apache,build,build-system,codehaus,maven,metadata,plugin,tools]",6
"[annotations,client,codehaus,config,driver,extension,github,google,groovy,http,io,jdbc,junit,jvm,language,rest,runner,servlet,spring,sql,testing,tracing,web]",1
"[api,assets,bootstrap,hibernate,io,javax,jpa,persistence,social,specs,spring,standard,web]",1
"[analysis,ui]",1
"[api,io,javax,logging,metrics,monitoring,servlet,specs,spring,standard,support,testing]",1
"[cloud,forms,github,io,spring,support,testing]",1
"[concurrency,experimental]",1
