repositoryName1,repositoryName2,intersection,similarity
GeyserMC/GeyserConnect,brettwooldridge/SansOrm,"[jdbc, sql, sqlite]",1.0
griffon/griffon,tigase/tigase-server,"[codehaus, groovy, jvm, language]",0.8
bytedeco/javacpp,dodie/scott,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
dCache/nfs4j,j256/simplemagic,[logging],1.0
FasterXML/jackson-databind,jenkinsci/ec2-plugin,"[junit, mock, mocking, module, testing]",0.71
feroult/yawp,paul-hammant/paranamer,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
micronaut-projects/micronaut-examples,pircbotx/pircbotx,[logging],1.0
nurkiewicz/async-retry,vassalengine/vassal,[logging],1.0
mttkay/signpost,tumblr/jumblr,"[authentication, oauth]",1.0
SpoutDev/Vanilla,coinbase/coinbase-java,"[api, junit, mock, mocking, module, testing]",1.0
Hive2Hive/Hive2Hive,nurkiewicz/async-retry,[logging],1.0
Plugily-Projects/BuildBattle,yinwang0/pysonar2,"[analysis, annotations, defect, metadata]",1.0
eclipse/eclipse.jdt.ls,spotify/dbeam,"[annotations, google]",1.0
nativelibs4java/BridJ,neophob/PixelController,[native],1.0
evrignaud/fim,ssssssss-team/spider-flow,"[apache, commons, csv, tabular]",1.0
griffon/griffon,jonashackt/spring-boot-vuejs,"[codehaus, groovy, jvm, language]",0.8
farsunset/cim,scalecube/socketio,"[io, native, netty, network, socket, transport]",1.0
FasterXML/jackson-databind,Pi4J/pi4j-v1,"[junit, mock, mocking, module, testing]",0.83
GlenKPeterson/Paguro,jmock-developers/jmock-library,"[analysis, annotations, defect, jvm, language, library, metadata, scala]",0.8
joniles/mpxj,verdict-project/verdict,"[jdbc, sql, sqlite]",0.75
j256/simplemagic,red6/pdfcompare,[logging],1.0
mdeverdelhan/ta4j-origins,nurkiewicz/async-retry,[logging],1.0
preon/preon,tuguangquan/mybatis,[bytecode],1.0
bfwg/springboot-jwt-starter,hapifhir/hapi-fhir-jpaserver-starter,"[assets, bootstrap, web]",0.75
samaxes/minify-maven-plugin,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
SafeGroceryStore/MDUT,joniles/mpxj,"[jdbc, sql, sqlite]",1.0
elBukkit/MagicPlugin,games647/LagMonitor,[github],1.0
AzureAD/microsoft-authentication-library-for-java,micronaut-projects/micronaut-examples,[logging],1.0
goldmansachs/reladomo,omnifaces/omnifaces,"[api, javax, servlet, specs, standard]",1.0
mp911de/logstash-gelf,wangweiX/blockchain-java,[logging],1.0
mp911de/logstash-gelf,twitter-archive/cloudhopper-smpp,[logging],1.0
gturri/aXMLRPC,lejon/T-SNE-Java,[github],1.0
StripesFramework/stripes,omnifaces/omnifaces,"[api, javax, servlet, specs, standard]",0.83
paul-hammant/paranamer,spotify/dockerfile-maven,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
graalvm/graalvm-demos,locationtech/jts,[sdk],1.0
cromwellian/angulargwt,google/gwtmockito,"[google, gwt, mocking, testing, ui]",0.71
jagrosh/Vortex,red6/pdfcompare,[logging],1.0
oskopek/javaanpr,scorego/WechatRobot,[logging],1.0
amaembo/huntbugs,gaul/modernizer-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
Ekryd/sortpom,TNG/JGiven,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
nurkiewicz/async-retry,spotify/sparkey-java,[logging],1.0
medcl/elasticsearch-analysis-pinyin,viskell/viskell,"[api, junit, mock, mocking, module, testing]",1.0
plutext/docx4j-ImportXHTML,wangweiX/blockchain-java,[logging],1.0
fusesource/hawtjni,luontola/retrolambda,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.82
apache/maven-compiler-plugin,ulisesbocchio/jasypt-spring-boot,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
alenfive/rocket-api,xuxueli/xxl-job,"[codehaus, groovy, jvm, language]",1.0
apache/commons-collections,finmath/finmath-lib,"[engine, junit, testing]",1.0
jimbethancourt/RefactorFirst,trivago/cucable-plugin,"[annotations, apache, build, build-system, engine, junit, maven, metadata, plugin, testing, tools]",1.0
darbyluv2code/spring-and-hibernate-for-beginners,xiaomiwujiecao/KongFuOfArchitect,"[api, javax, mapping, orm, persistence, relational, servlet, specs, spring, standard]",0.83
johnlpage/POCDriver,plutext/docx4j-ImportXHTML,[logging],1.0
postgis/postgis-java,xSAVIKx/AndroidScreencast,[logging],1.0
j-easy/easy-rules,oracle/oracle-db-examples,"[api, javax, servlet, specs, standard]",0.71
takari/takari-maven-plugin,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
lejon/T-SNE-Java,qinming99/dst-admin,[github],1.0
Pi4J/pi4j-v1,Stratio/deep-spark,"[junit, mock, mocking, module, testing]",0.71
Hive2Hive/Hive2Hive,thiagolocatelli/parse4j,[logging],1.0
fabric8io/elasticsearch-cloud-kubernetes,nativelibs4java/BridJ,[native],1.0
GeyserMC/GeyserConnect,SafeGroceryStore/MDUT,"[jdbc, sql, sqlite]",1.0
TheCoder4eu/BootsFaces-OSP,sosy-lab/java-smt,"[api, javax, servlet, specs, standard]",1.0
java-deobfuscator/deobfuscator,jnr/jnr-ffi,[github],1.0
dCache/nfs4j,scorego/WechatRobot,[logging],1.0
oskopek/javaanpr,zhoumengkang/netty-restful-server,[logging],1.0
amaembo/huntbugs,openjfx/javafx-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
Ekryd/sortpom,shrinkwrap/resolver,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
confluence-publisher/confluence-publisher,feroult/yawp,"[annotations, apache, build, build-system, io, maven, metadata, plugin, tools]",0.75
barend/java-iban,timols/java-gitlab-api,"[engine, junit, testing]",0.75
bfwg/springboot-jwt-starter,ewolff/microservice,"[assets, bootstrap, web]",1.0
JetBrains/intellij-samples,alaisi/postgres-async-driver,"[analysis, annotations, defect, metadata]",0.8
johrstrom/jmeter-prometheus-plugin,questdb/questdb,"[io, prometheus]",1.0
git-moss/DrivenByMoss,neophob/PixelController,[native],1.0
idealo/mongodb-slow-operations-profiler,pac4j/spring-security-pac4j,"[api, javax, servlet, specs, standard]",0.83
heibaiying/Full-Stack-Notes,preon/preon,[bytecode],1.0
WinterChenS/my-site,perye/dokit,"[api, io, swagger]",0.75
jcabi/jcabi-aspects,micronaut-projects/micronaut-examples,[logging],1.0
java-deobfuscator/deobfuscator,mangstadt/biweekly,[github],1.0
bytedeco/javacpp,paul-hammant/paranamer,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
feroult/yawp,talios/clojure-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
hyperledger/fabric-chaincode-java,oldmanpushcart/greys-anatomy,[logging],1.0
mdeverdelhan/ta4j-origins,thiagolocatelli/parse4j,[logging],1.0
TNG/JGiven,samaxes/minify-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
criteo/babar,fusesource/hawtdispatch,"[jvm, language, library, scala]",1.0
JetBrains/intellij-samples,docbleach/DocBleach,"[analysis, annotations, defect, metadata]",0.8
aleksandr-m/gitflow-maven-plugin,luontola/retrolambda,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.82
brettwooldridge/SansOrm,ssaring/sportstracker,"[jdbc, sql, sqlite]",1.0
lerry903/RuoYi,seagull1985/LuckyFrameWeb,"[apache, api, github, io, security, swagger, upload]",1.0
temyers/cucumber-jvm-parallel-plugin,tunnelvisionlabs/antlr4cs,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
OpenAPITools/openapi-diff,samaxes/minify-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
danielflower/multi-module-maven-release-plugin,fusesource/hawtjni,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.82
Hive2Hive/Hive2Hive,atomix/copycat,[logging],1.0
jnr/jnr-ffi,sanger-pathogens/Artemis,[github],1.0
Crab2died/Excel4J,apache/commons-validator,"[apache, commons, csv, tabular]",1.0
kakawait/cas-security-spring-boot-starter,resthub/springmvc-router,"[api, javax, servlet, specs, standard]",0.71
rgladwell/m2e-android,wuman/android-oauth-client,[testing],1.0
feroult/yawp,gmu-swe/phosphor,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
feroult/yawp,spotify/dockerfile-maven,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
hyperledger/fabric-chaincode-java,oskopek/javaanpr,[logging],1.0
micronaut-projects/micronaut-examples,scorego/WechatRobot,[logging],1.0
T-baby/MongoDB-Plugin,oskopek/javaanpr,[logging],1.0
barend/java-iban,finmath/finmath-lib,"[engine, junit, testing]",1.0
barend/java-iban,biojava/biojava,"[engine, junit, testing]",1.0
apache/maven-compiler-plugin,fusesource/hawtjni,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
samaxes/minify-maven-plugin,spotify/dockerfile-maven,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
aleksandr-m/gitflow-maven-plugin,takari/takari-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
ebourg/jsign,samaxes/minify-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
OpenAPITools/openapi-diff,bytedeco/javacpp,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
StripesFramework/stripes,sosy-lab/java-smt,"[api, javax, servlet, specs, standard]",0.83
paul-hammant/paranamer,rohanpadhye/JQF,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",1.0
kiegroup/jbpm,naver/volley-extensions,"[junit, mock, mocking, module, testing]",0.71
Nilhcem/FakeSMTP,nurkiewicz/async-retry,[logging],1.0
fuzhengwei/small-spring,spring-projects/spring-security-javaconfig,[bytecode],1.0
eclipse/microprofile,samaxes/minify-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
AgNO3/jcifs-ng,kakawait/cas-security-spring-boot-starter,"[api, javax, servlet, specs, standard]",1.0
AzureAD/microsoft-authentication-library-for-java,jcabi/jcabi-aspects,[logging],1.0
apache/commons-pool,heibaiying/Full-Stack-Notes,[bytecode],1.0
asakusafw/asakusafw,lgxqf/UICrawler,[logging],1.0
Matthias247/jawampa,ben-manes/caffeine,"[io, reactive]",1.0
